ID_WP,Tahun,Sektor,Jml_Terlambat,Rata_Pembayaran,Frekuensi_Lapor,Jml_Tunggakan,Kepatuhan
WP101,2024,Perdagangan,0,25000000,12,0,0
WP102,2024,Jasa,3,5000000,9,2,1
WP103,2025,Manufaktur,1,150000000,11,0,0
WP104,2025,Properti,4,75000000,8,3,1
WP105,2024,Perdagangan,0,12000000,12,0,0
WP106,2025,Jasa,0,8000000,12,0,0
WP107,2024,Manufaktur,5,45000000,7,4,1
WP108,2025,Properti,1,90000000,11,0,0
WP109,2024,Perdagangan,2,15000000,10,1,0
WP110,2025,Jasa,6,3000000,6,5,1
WP111,2024,Manufaktur,0,200000000,12,0,0
WP112,2025,Properti,2,55000000,10,2,1
WP113,2024,Perdagangan,1,18000000,11,0,0
WP114,2025,Jasa,0,9500000,12,0,0
WP115,2024,Manufaktur,3,85000000,9,1,1
WP116,2025,Properti,0,120000000,12,0,0
WP117,2024,Perdagangan,4,10000000,8,3,1
WP118,2025,Jasa,1,6000000,11,0,0
WP119,2024,Manufaktur,0,300000000,12,0,0
WP120,2025,Properti,5,40000000,7,4,1
